,Index Name,Annual Return,Cumulative Returns,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,1_Train,1_Test,1_CV,2_Train,2_Test,2_CV
PTTEP.BK,PTT Exploration and Production Public Company Limited,0.106881074,1.663387016,0.204173906,0.59840596,0.957415889,-0.275193888,0.388384622,0.620051414,0.542094456,0.501673976,0.579948586,0.542094456,0.51565138
PTTGC.BK,PTT Global Chemical Public Company Limited,0.048487227,0.57895249,0.209907465,0.329687929,0.508750586,-0.490441738,0.098864398,0.60874036,0.603696099,0.560454111,0.594858612,0.618069815,0.570735417
RATCH.BK,Ratch Group Public Company Limited,-0.022850467,-0.199878762,0.151009846,-0.077796476,-0.112122595,-0.460235638,-0.049649495,0.662210797,0.626283368,0.62130369,0.631362468,0.636550308,0.626234357
SAWAD.BK,Srisawad Corporation Public Company Limited,-0.023106241,-0.195653386,0.265709553,0.044659806,0.065360987,-0.532656724,-0.043379234,0.628328009,0.534042553,0.548543302,0.58998935,0.546808511,0.550254503
SCB.BK,SCB X Public Company Limited,0,0,0,,,0,,0.724770642,0.475609756,0.515898826,0.645259939,0.5,0.564769648
SCC.BK,The Siam Cement Public Company Limited,0.022041696,0.234076458,0.133131791,0.229593612,0.361564807,-0.354692533,0.062143108,0.636503856,0.585215606,0.536205542,0.589717224,0.597535934,0.559640361
SCGP.BK,SCG Packaging Public Company Limited,0,0,0,,,0,,0.691558442,0.419354839,0.40725597,0.628246753,0.541935484,0.411152074
TISCO.BK,TISCO Financial Group Public Company Limited,0.05960427,0.748062198,0.12668692,0.520283472,0.791083514,-0.243975913,0.244303912,0.611311054,0.566735113,0.513147599,0.594858612,0.568788501,0.536983801
TLI.BK,Thai Life Insurance Public Company Limited,0,0,0,,,0,,0.732142857,0.671428571,0.551428571,0.65,0.685714286,0.56
TOP.BK,Thai Oil Public Company Limited,0.060718485,0.765875394,0.222519554,0.375353445,0.568113612,-0.366336565,0.165745085,0.643187661,0.54825462,0.530450985,0.596401028,0.550308008,0.536205542
TRUE.BK,True Corporation Public Company Limited,0.070966764,0.937509365,0.309048026,0.351959665,0.7545778,-0.412790702,0.171919484,0.653984576,0.599589322,0.559245739,0.628791774,0.599589322,0.569115522
TTB.BK,TMBThanachart Bank Public Company Limited,0.093425877,1.366977144,0.202734043,0.542501456,0.815731152,-0.376923033,0.2478646,0.685861183,0.640657084,0.569479724,0.651413882,0.640657084,0.586338632
TU.BK,Thai Union Group Public Company Limited,0.033196084,0.37030905,0.169557968,0.277394218,0.405576177,-0.400092258,0.082971073,0.652442159,0.609856263,0.517684488,0.613367609,0.616016427,0.526322238
WHA.BK,WHA Corporation Public Company Limited,0.108858622,1.709646594,0.202781188,0.610624385,0.954592039,-0.346153965,0.314480356,0.63496144,0.577002053,0.577285134,0.615938303,0.574948665,0.587570664
